exercise_id,name,category,met_value,intensity_level,impact_level,duration_min,beginner_friendly,intermediate_friendly,advanced_friendly,home_friendly,gym_required,outdoor_only,bodyweight_only,dumbbell_supported,band_supported,full_gym_supported,weight_loss_friendly,muscle_gain_friendly,flexibility_friendly,stress_relief_friendly,endurance_friendly,posture_improving,sedentary_safe,moderate_activity_ok,high_activity_ok,knee_safe,shoulder_safe,lower_back_safe,upper_back_safe,neck_safe,ankle_safe,wrist_safe,elbow_safe,hip_safe,joint_safe,period_safe,safe_during_cramps,safe_for_heavy_flow,reduces_bloating,reduces_fatigue,hormone_balance_help,low_impact_period_ok,diabetes_friendly,bp_friendly,thyroid_friendly,pcos_friendly,heart_friendly,cholesterol_friendly,anemia_friendly,arthritis_friendly,core_targeted,upper_body_targeted,lower_body_targeted,full_body,mobility_improving,balance_improving,sets_min,sets_max,reps_min,reps_max,effort_type,rest_seconds,duration_beginner_min,duration_advanced_min,energy_band,primary_goal,equipment_level
30,triangle pose,yoga,3.5,medium,low,12,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,time,0,12,22,medium,flexibility,none
31,hamstring stretch,stretching,2.5,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,time,0,10,20,low,flexibility,none
32,quadriceps stretch,stretching,2.5,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,time,0,10,20,low,flexibility,none
33,calf stretch,stretching,2.3,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,time,0,10,20,low,flexibility,none
34,shoulder stretch,stretching,2.3,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,time,0,10,20,low,flexibility,none
35,triceps stretch,stretching,2.3,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,time,0,10,20,low,flexibility,none
36,hip flexor stretch,stretching,2.5,low,low,12,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,-1,0,12,22,-1,flexibility,none,nan
37,side bend stretch,stretching,2.3,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,time,0,10,20,low,flexibility,none
38,neck stretch,stretching,2,low,low,8,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,time,0,8,18,low,relaxation,none
39,butterfly stretch,stretching,2.5,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,time,0,10,20,low,flexibility,none
40,spinal twist stretch,stretching,2.8,low,low,12,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,time,0,12,22,low,mobility,none
41,burpees,cardio,12.5,high,high,10,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,4,8,20,40,-1,30,8,15,-1,fat_loss,none,nan
42,jump squats,cardio,11.8,high,high,10,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,4,8,20,40,-1,30,8,15,-1,fat_loss,none,nan
43,mountain climbers,cardio,11,high,high,10,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,4,8,20,40,-1,30,8,15,-1,fat_loss,none,nan
44,jump lunges,cardio,12.2,high,high,10,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,4,8,20,40,-1,30,8,15,-1,fat_loss,none,nan
45,plank jacks,cardio,10.8,high,high,10,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,4,8,20,40,-1,30,8,15,-1,fat_loss,none,nan
46,skater jumps,cardio,11.2,high,high,10,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,4,8,20,40,-1,30,8,15,-1,fat_loss,none,nan
47,butt kicks,cardio,10.5,high,high,10,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,4,8,20,40,-1,30,8,15,-1,fat_loss,none,nan
48,tuck jumps,cardio,12.8,high,high,10,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,4,8,20,40,-1,30,8,15,-1,fat_loss,none,nan
49,speed skipping,cardio,12,high,high,10,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,4,8,20,40,-1,30,8,15,-1,fat_loss,none,nan
50,hip circles,mobility,3,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,time,0,10,20,low,mobility,none
51,arm circles,mobility,2.5,low,low,8,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,-1,0,8,15,-1,mobility,none,nan
52,ankle rolls,mobility,2.3,low,low,8,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,-1,0,8,15,-1,mobility,none,nan
53,shoulder rolls,mobility,2.3,low,low,8,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,-1,0,8,15,-1,mobility,none,nan
54,cat camel stretch,mobility,3,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,-1,0,10,20,-1,mobility,none,nan
55,hip flexor mobility,mobility,3.5,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,time,0,10,20,low,mobility,none
56,thoracic rotations,mobility,3,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,-1,0,10,20,-1,mobility,none,nan
57,knee circles,mobility,2.5,low,low,8,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,time,0,8,15,low,mobility,none
58,dynamic hamstring sweep,mobility,3.5,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,time,0,10,20,low,mobility,none
59,spinal mobility rotations,mobility,3,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,-1,0,10,20,-1,mobility,none,nan
60,single leg stand,balance,2.5,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,-1,0,10,20,-1,balance,none,nan
61,heel to toe walk,balance,2.8,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,-1,0,10,20,-1,balance,none,nan
62,tree pose balance,balance,2.5,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,-1,0,10,20,-1,balance,none,nan
63,single leg deadlift balance,balance,4.5,medium,low,12,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,3,5,10,15,-1,30,10,20,-1,balance,none,nan
64,standing march balance,balance,2.8,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,-1,0,10,20,-1,balance,none,nan
65,y balance reach,balance,4,medium,low,12,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,3,5,10,15,reps,30,10,20,medium,balance,none
66,tandem stand,balance,2.3,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,time,0,10,20,low,balance,none
67,single leg reach,balance,3,low,low,12,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,-1,0,10,20,-1,balance,none,nan
68,forward backward walk,balance,2.8,low,low,12,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,-1,0,12,20,-1,balance,none,nan
69,chair squats,strength,4.5,low,low,12,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,2,4,10,15,reps,30,10,20,low,strength,none
70,resistance band rows,strength,5.5,medium,low,15,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,3,5,12,15,-1,45,12,25,-1,-1,band,nan,nan
71,running,cardio,9.8,high,medium,30,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,3,5,0,0,time,60,20,40,high,cardio,none
72,power cycling,cardio,8.5,medium,low,30,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,3,5,0,0,time,60,20,40,medium,cardio,basic
73,step aerobics,cardio,7.5,medium,medium,20,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,3,5,0,0,time,45,15,30,medium,cardio,none
74,kettlebell swings,strength,9.5,high,medium,15,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,4,6,12,20,reps,60,12,25,high,strength,full_gym
75,deadlifts,strength,10,high,medium,15,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,4,6,8,12,reps,90,15,30,extreme,strength,full_gym
76,bicep curls,strength,4.5,low,low,12,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,3,5,12,15,reps,45,12,25,low,strength,dumbbell
77,boat pose,yoga,3.5,medium,low,12,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-1,0,10,20,-1,core,none,nan
78,locust pose,yoga,3.2,low,low,12,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-1,0,10,20,-1,flexibility,none,nan
79,half moon pose,yoga,3.8,medium,low,12,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-1,0,10,20,-1,balance,none,nan
80,it band stretch,stretching,2.5,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,-1,0,10,20,-1,flexibility,none,nan
81,groin stretch,stretching,2.5,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,-1,0,10,20,-1,flexibility,none,nan
82,toe touch stretch,stretching,2.8,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,-1,0,10,20,-1,flexibility,none,nan
83,box jumps,cardio,13,high,high,10,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,4,8,10,20,reps,90,12,25,extreme,explosive,full_gym
84,battle ropes,cardio,12.5,high,medium,12,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,4,6,20,40,time,60,15,30,extreme,cardio,full_gym
85,sprint intervals,cardio,14,high,high,10,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,6,10,0,0,time,120,10,20,extreme,speed,none
86,leg swings,mobility,3,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,-1,0,10,20,-1,mobility,none,nan
87,wrist mobility circles,mobility,2,low,low,8,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,time,0,8,15,low,mobility,none
